interview_number,interview_date,interview_time,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter2_gender,alter2_age,alter2_class,alter2_home,alter3_gender,alter3_age,alter3_class,alter3_home,alter4_gender,alter4_age,alter4_class,alter4_home,alter5_gender,alter5_age,alter5_class,alter5_home
self,08/29/2016,3:32pm,20,Junior,LA,6+,F,20,Junior,LA,M,20,Junior,Rest of California,M,20,Junior,Rest of US,F,50,Other,LA,M,55,Other,LA
1,09/06/2016,8:19pm,19,Sophomore,LA,3,F,19,Sophomore,LA,M,19,Sophomore,LA,F,21,Senior,LA,,,,,,,,
2,09/06/2016,8:23pm,19,Sophomore,LA,4,F,25,Other,LA,F,19,Sophomore,LA,F,26,Other,LA,M,30,Other,LA,,,,
3,09/07/2016,2:30pm,19,Sophomore,Rest of US,2,M,22,Senior,Rest of US,M,20,Sophomore,LA,,,,,,,,,,,,
self,08/29/2016,3:40 PM,18,Freshman,Rest of US,5,M,50,Other,Rest of US,F,18,Freshman,Rest of US,F,18,Freshman,Rest of World,M,18,Freshman,Rest of US,F,52,Other,Rest of US
1,08/29/2016,3:30 PM,20,Senior,Rest of California,5,M,24,Other,Rest of US,M,21,Senior,Rest of World,F,22,Other,Bay Area,M,20,Junior,Rest of US,F,20,Other,Bay Area
2,08/30/2016,12:15 AM,18,Freshman,Bay Area,6+,F,46,Other,Rest of World,M,21,Senior,Rest of World,F,17,Freshman,Rest of World,M,48,Other,Rest of World,F,19,Sophomore,Rest of World
3,08/30/2016,12:22 AM,18,Freshman,Rest of US,6+,F,18,Freshman,Rest of US,F,18,Freshman,Rest of US,F,21,Senior,Rest of US,F,18,Freshman,Rest of US,F,18,Freshman,Rest of US
self,09/06/2016,5:45 PM,18,Freshman,Rest of World,5,F,18,Freshman,Rest of World,F,18,Freshman,Rest of World,M,18,Freshman,Rest of World,M,17,Freshman,Rest of World,M,18,Freshman,Rest of World
1,09/06/2016,10:48 PM,18,Freshman,Rest of California,6,F,59,Other,Rest of World,M,55,Other,Rest of World,M,21,Other,Rest of World,F,18,Other,Rest of World,M,18,Senior,Rest of World
2,09/06/2016,10:41 PM,19,Junior,Rest of California,7,M,58,Other,Rest of California,M,18,Freshman,Rest of California,M,18,Freshman,Rest of California,M,52,Other,Rest of California,F,18,Freshman,Rest of California
3,09/06/2016,10:47 PM,18,Freshman,Bay Area,8,F,18,Freshman,Bay Area,F,18,Freshman,Bay Area,M,18,Freshman,Bay Area,F,18,Freshman,Bay Area,M,17,Freshman,Bay Area
in class,08/29/2016,3:30 PM,24,Junior,Rest of US,3,F,23,Junior,Rest of World,F,44,Other,Rest of US,F,26,Other,Rest of US,,,,,,,,
1,09/01/2016,11:30 PM,20,Junior,Bay Area,1,M,19,Other,Rest of US,,,,,,,,,,,,,,,,
2,09/03/2016,11:00 AM,19,Sophomore,Bay Area,4,M,19,Sophomore,Bay Area,F,20,Junior,Bay Area,M,19,Sophomore,LA,M,20,Sophomore,Bay Area,,,,
3,09/03/2016,11:15 AM,19,Sophomore,LA,3,F,19,Sophomore,Rest of US,F,46,Other,LA,M,27,Other,LA,M,20,Sophomore,LA,F,19,Sophomore,Bay Area
self,09/05/2016,10:12 AM,19,Junior,Rest of World,5,M,19,Junior,Rest of US,F,65,Other,Rest of World,F,19,Junior,Bay Area,F,19,Sophomore,Rest of World,M,25,Other,Rest of California
1,09/05/2016,11:36 AM,18,Sophomore,Bay Area,3,F,18,Sophomore,Bay Area,M,18,Sophomore,Bay Area,M,50,Other,Bay Area,,,,,,,,
2,09/05/2016,2:03 PM,19,Junior,Rest of US,5,M,19,Junior,Rest of US,F,19,Junior,Rest of US,M,19,Junior,Rest of US,F,19,Junior,Bay Area,F,19,Junior,LA
3,09/05/2016,6:40 PM,20,Senior,Rest of World,4,M,20,Senior,LA,M,20,Senior,Bay Area,F,20,Senior,Rest of California,F,50,Other,Rest of California,,,,
self,09/06/2016,11:15 AM,19,Sophomore,Bay Area,5,F,19,Sophomore,LA,M,19,Sophomore,LA,M,19,Sophomore,Bay Area,F,19,Sophomore,Bay Area,F,45,Other,Bay Area
1,09/07/2016,11:30 AM,19,Junior,Bay Area,5,F,19,Sophomore,Bay Area,M,29,Senior,LA,M,30,Senior,LA,M,25,Senior,LA,F,20,Junior,Bay Area
2,09/08/2016,11:25 AM,19,Sophomore,Bay Area,5,M,19,Junior,Bay Area,F,19,Sophomore,LA,F,52,Other,Bay Area,F,17,Freshman,Bay Area,F,19,Sophomore,Bay Area
3,09/09/2016,12:42 PM,19,Sophomore,Bay Area,5,F,51,Other,Bay Area,M,19,Sophomore,LA,F,19,Sophomore,Bay Area,M,19,Sophomore,Bay Area,M,21,Senior,LA
