born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1949,2,NA,8,375,367,FALSE,0,DEM,M,NE,02257,Brad Ashford,46
1954,30,29707,7,272,265,FALSE,18,DEM,M,CA,01526,Brad J. Sherman,47
1958,2,21351,7,173,166,FALSE,2,REP,M,OH,02152,Brad R. Wenstrup,48
1955,1,NA,9,277,268,FALSE,1,REP,M,AL,02197,Bradley Byrne,49
1954,14,NA,14,434,420,FALSE,0,DEM,F,MI,02252,Brenda Lawrence,50
1977,13,NA,2,299,297,FALSE,0,DEM,M,PA,02267,Brendan Boyle,51
1964,2,20916,14,230,216,FALSE,6,REP,M,KY,01922,Brett Guthrie,52
1948,36,NA,10,375,365,FALSE,0,REP,M,TX,02270,Brian Babin,53
1959,26,20519,11,344,333,FALSE,10,DEM,M,NY,01794,Brian M. Higgins,54
1953,2,NA,13,181,168,FALSE,0,REP,M,ME,02247,Bruce Poliquin,55
1967,4,NA,3,244,241,FALSE,0,REP,M,AR,02224,Bruce Westerman,56
1957,1,NA,9,298,289,FALSE,0,REP,M,GA,02236,Buddy Carter,57
1946,2,20329,4,178,174,FALSE,12,DEM,M,MD,01728,C. A. Dutch Ruppersberger,58
1954,10,20331,13,205,192,FALSE,12,REP,F,MI,01731,Candice S. Miller,59
1980,26,NA,19,305,286,FALSE,0,REP,M,FL,02235,Carlos Curbelo,60
1946,12,29379,32,348,316,FALSE,22,DEM,F,NY,00729,Carolyn B. Maloney,61
1969,5,20535,10,169,159,FALSE,10,REP,F,WA,01809,Cathy McMorris Rodgers,62
1973,2,21137,10,289,279,FALSE,4,DEM,M,LA,02023,Cedric L. Richmond,63
1956,2,29559,5,291,286,FALSE,20,DEM,M,PA,00371,Chaka Fattah,64
1930,13,13035,13,824,811,FALSE,44,DEM,M,NY,00944,Charles B. Rangel,65
1962,3,21178,5,157,152,FALSE,4,REP,M,TN,02061,Charles J. Fleischmann,66
1956,3,20514,25,363,338,FALSE,10,REP,M,LA,01787,Charles W. Boustany Jr.,67
1960,15,20526,12,173,161,FALSE,10,REP,M,PA,01799,Charles W. Dent,68
1955,1,20920,7,442,435,FALSE,6,DEM,F,ME,01927,Chellie Pingree,69
1961,17,21329,11,329,318,FALSE,2,DEM,F,IL,02127,Cheri Bustos,70
1950,27,21345,15,328,313,FALSE,2,REP,M,NY,02151,Chris Collins,71
1960,2,21367,11,240,229,FALSE,2,REP,M,UT,02168,Chris Stewart,72
1959,8,20330,15,491,476,FALSE,12,DEM,M,MD,01729,Chris Van Hollen Jr.,73
1953,4,14863,37,258,221,FALSE,34,REP,M,NJ,01071,Christopher H. Smith,74
1964,19,21156,20,382,362,FALSE,4,REP,M,NY,02043,Christopher P. Gibson,75
1944,7,29127,2,314,312,FALSE,24,DEM,M,MN,00910,Collin Clark Peterson,76
1946,5,29328,7,402,395,FALSE,22,DEM,F,FL,00132,Corrine Brown,77
1957,4,NA,6,156,150,FALSE,0,REP,M,NV,02260,Cresent Hardy,78
1959,19,NA,9,151,142,FALSE,1,REP,M,FL,02200,Curtis Clawson,79
1954,0,20953,10,224,214,FALSE,6,REP,F,WY,01960,Cynthia M. Lummis,80
1952,1,21141,7,244,237,FALSE,4,REP,M,MI,02027,Dan Benishek,81
1955,4,NA,8,257,249,FALSE,0,REP,M,WA,02275,Dan Newhouse,82
1947,48,15621,13,191,178,FALSE,26,REP,M,CA,00979,Dana T. Rohrabacher,83
1956,11,NA,7,174,167,FALSE,0,REP,M,NY,02293,Daniel M. Donovan Jr.,84
1958,5,21372,9,272,263,FALSE,2,DEM,M,MI,02134,Daniel T. Kildee,85
1949,10,21116,1,160,159,FALSE,4,REP,M,FL,02002,Daniel Webster,86
1966,3,20508,16,311,295,FALSE,10,DEM,M,IL,01781,Daniel William Lipinski,87
1941,7,29717,10,321,311,FALSE,18,DEM,M,IL,01477,Danny K. Davis,88
1968,18,NA,1,75,74,FALSE,0,REP,M,IL,02295,Darin LaHood,89
1953,49,20107,14,147,133,FALSE,14,REP,M,CA,01640,Darrell E. Issa,90
1960,11,NA,6,172,166,FALSE,0,REP,M,MI,02250,Dave Trott,91
1964,7,NA,14,236,222,FALSE,1,REP,M,VA,02203,David Alan Brat,92
1947,1,21188,27,290,263,FALSE,4,REP,M,WV,02074,David B. McKinley,93
1940,4,15438,9,248,239,FALSE,28,DEM,M,NC,00930,David E. Price,94
1950,8,20536,27,188,161,FALSE,10,REP,M,WA,01810,David G. Reichert,95
1977,21,21307,4,227,223,FALSE,2,REP,M,CA,02105,David G. Valadao,96
1952,2,20720,11,416,405,FALSE,8,DEM,M,IA,01846,David Loebsack,97
1961,1,21172,28,514,486,FALSE,4,DEM,M,RI,02055,David N. Cicilline,98
1957,14,21353,4,315,311,FALSE,2,REP,M,OH,02154,David P. Joyce,99
1945,1,20947,12,335,323,FALSE,6,REP,M,TN,01954,David P. Roe,100
1972,7,NA,7,312,305,FALSE,0,REP,M,NC,02256,David Rouzer,101
1962,6,21105,13,256,243,FALSE,4,REP,M,AZ,01994,David Schweikert,102
1945,13,20321,5,312,307,FALSE,12,DEM,M,GA,01722,David Scott,103
1972,13,NA,21,311,290,FALSE,1,REP,M,FL,02199,David W. Jolly,104
1968,3,NA,9,262,253,FALSE,0,REP,M,IA,02242,David Young,105
1953,12,NA,6,287,281,FALSE,0,DEM,F,MI,02251,Debbie Dingell,106
1966,23,20504,6,282,276,FALSE,10,DEM,F,FL,01777,Debbie Wasserman Schultz,107
1959,15,21117,13,253,240,FALSE,4,REP,M,FL,02003,Dennis A. Ross,108
1952,10,21369,6,258,252,FALSE,2,DEM,M,WA,02170,Denny Heck,109
1974,6,21368,21,510,489,FALSE,2,DEM,M,WA,02169,Derek Kilmer,110
1973,22,20307,16,194,178,FALSE,12,REP,M,CA,01710,Devin G. Nunes,111
1957,1,29710,10,205,195,FALSE,18,DEM,F,CO,01479,Diana L. DeGette,112
1951,6,21180,36,313,277,FALSE,4,REP,F,TN,02063,Diane Black,113
1950,1,20927,13,309,296,FALSE,6,DEM,F,NV,01940,Dina Titus,114
1933,0,14066,26,301,275,FALSE,42,REP,M,AK,01256,Don E. Young,115
1950,8,NA,15,395,380,FALSE,0,DEM,M,VA,02272,Donald Beyer,116
1958,10,31103,15,328,313,FALSE,3,DEM,M,NJ,02097,Donald M. Payne Jr.,117
1958,1,NA,5,252,247,FALSE,1,DEM,M,NJ,02202,Donald W. Norcross,118
1958,4,20763,10,407,397,FALSE,7,DEM,F,MD,01894,Donna F. Edwards,119
1944,6,20538,10,379,369,FALSE,10,DEM,F,CA,01814,Doris O. Matsui,120
1966,9,21323,18,188,170,FALSE,2,REP,M,GA,02121,Doug Collins,121
1960,1,21302,9,312,303,FALSE,2,REP,M,CA,02100,Doug LaMalfa,122
1954,5,20704,10,239,229,FALSE,8,REP,M,CO,01834,Doug Lamborn,123
1976,50,20963,21,218,197,FALSE,6,REP,M,CA,01909,Duncan D. Hunter,124
1948,3,29588,24,605,581,FALSE,19,DEM,M,OR,00099,Earl Blumenauer,125
1953,7,20705,11,306,295,FALSE,8,DEM,M,CO,01835,Ed Perlmutter,126
1943,1,29525,9,130,121,FALSE,20,REP,M,KY,01222,Ed Whitfield,127
1935,30,39305,13,285,272,FALSE,22,DEM,F,TX,00599,Eddie Bernice Johnson,128
1951,39,29321,28,198,170,FALSE,22,REP,M,CA,00998,Edward R. Royce,129
1960,2,21185,3,163,160,FALSE,4,REP,M,VA,02068,Edward Scott Rigell,130
1937,0,NA,26,949,923,FALSE,24,DEM,F,DC,00868,Eleanor Holmes Norton,131
1951,7,29587,19,364,345,FALSE,19,DEM,M,MD,00256,Elijah E. Cummings,132
1947,16,15603,31,394,363,FALSE,26,DEM,M,NY,00344,Eliot L. Engel,133
1984,21,NA,11,260,249,FALSE,0,REP,F,NY,02263,Elise Stefanik,134
1959,5,21316,20,406,386,FALSE,2,DEM,F,CT,02114,Elizabeth H. Esty,135
1944,5,20517,2,204,202,FALSE,10,DEM,M,MO,01790,Emanuel Cleaver II,136
1966,1,21106,9,174,165,FALSE,4,REP,M,AR,01989,Eric A. Crawford,137
1980,15,21306,9,495,486,FALSE,2,DEM,M,CA,02104,Eric Swalwell,138
1965,3,20924,28,237,209,FALSE,6,REP,M,MN,01930,Erik Paulsen,139
1960,3,NA,5,141,136,FALSE,0,REP,M,WV,02278,Evan Jenkins,140
1943,5,14657,30,248,218,FALSE,36,REP,M,WI,01041,F. James Sensenbrenner Jr.,141
1963,34,21366,1,187,186,FALSE,2,DEM,M,TX,02167,Filemon Vela,142
1946,2,29539,6,196,190,FALSE,20,REP,M,NJ,00699,Frank A. LoBiondo,143
1960,3,29393,4,154,150,FALSE,22,REP,M,OK,00711,Frank D. Lucas,144
1970,1,21152,12,205,193,FALSE,4,REP,M,NH,02038,Frank Guinta,145
1951,6,15454,13,206,193,FALSE,28,DEM,M,NJ,00887,Frank J. Pallone Jr.,146
1953,6,15446,4,103,99,FALSE,28,REP,M,MI,01177,Fred Stephen Upton,147
1942,24,21118,14,458,444,FALSE,4,DEM,F,FL,02004,Frederica S. Wilson,148
1956,2,NA,10,184,174,FALSE,0,REP,M,AR,02223,French Hill,149
1973,6,21333,13,301,288,FALSE,2,REP,M,KY,02131,Garland Barr,150
1972,6,NA,8,99,91,FALSE,0,REP,M,LA,02245,Garret Graves,151
1954,6,NA,4,117,113,FALSE,0,REP,M,AL,02221,Gary Palmer,152
1947,29,39304,10,244,234,FALSE,22,DEM,M,TX,00462,Gene Eugene Green,153
1968,13,21349,9,137,128,FALSE,2,REP,M,NC,02143,George Holding,154
1947,1,20340,13,284,271,FALSE,11,DEM,M,NC,01761,George Kenneth Butterfield Jr.,155
1950,11,20952,16,446,430,FALSE,6,DEM,M,VA,01959,Gerald E. Connolly,156
1955,6,NA,3,298,295,FALSE,0,REP,M,WI,02276,Glenn Grothman,157
1959,5,20946,16,251,235,FALSE,6,REP,M,PA,01952,Glenn Thompson,158
1936,32,29903,3,516,513,FALSE,16,DEM,F,CA,01602,Grace F. Napolitano,159
1975,6,21342,25,374,349,FALSE,2,DEM,F,NY,02148,Grace Meng,160
1957,2,29932,8,136,128,FALSE,16,REP,M,OR,01596,Greg P. Walden,161
1956,3,20925,11,238,227,FALSE,6,REP,M,MS,01933,Gregg Harper,162
1955,0,NA,8,135,127,FALSE,6,IND,M,MP,01962,Gregorio Kilili Camacho Sablan,163
1953,5,29776,4,438,434,FALSE,18,DEM,M,NY,01506,Gregory W. Meeks,164
1963,12,20758,23,263,240,FALSE,8,REP,M,FL,01838,Gus M. Bilirakis,165
1963,2,NA,10,163,153,FALSE,0,DEM,F,FL,02234,Gwen Graham,166
1951,4,20537,12,539,527,FALSE,10,DEM,F,WI,01811,Gwen Moore,167
1958,9,21191,14,199,185,FALSE,4,REP,M,VA,02070,H. Morgan Griffith,168
1970,8,21343,13,335,322,FALSE,2,DEM,M,NY,02149,Hakeem S. Jeffries,169
1937,5,14854,2,96,94,FALSE,34,REP,M,KY,00977,Harold Rogers,170
1954,4,20712,19,397,378,FALSE,8,DEM,M,GA,01843,Henry C. Johnson Jr.,171
1955,28,20533,5,148,143,FALSE,10,DEM,M,TX,01807,Henry Cuellar,172
1952,27,15634,22,238,216,FALSE,26,REP,F,FL,00985,Ileana Ros-Lehtinen,173
1952,4,20143,9,240,231,FALSE,14,REP,M,VA,01683,J. Randy Forbes,174
1950,14,20762,26,374,348,FALSE,7,DEM,F,CA,01890,Jackie Speier,175
1963,2,21330,15,258,243,FALSE,2,REP,F,IN,02128,Jackie Walorski,176
1978,3,21187,10,138,128,FALSE,4,REP,F,WA,02071,Jaime Herrera Beutler,177
1966,4,20907,9,234,225,FALSE,6,DEM,M,CT,01913,James A. Himes,178
1958,16,21164,19,253,234,FALSE,4,REP,M,OH,02048,James B. Renacci,179
1940,6,39301,5,107,102,FALSE,22,DEM,M,SC,00208,James E. Clyburn,180
1959,2,29729,8,728,720,FALSE,18,DEM,M,MA,01504,James P. McGovern,181
1964,2,20136,17,406,389,FALSE,14,DEM,M,RI,01668,James R. Langevin,182
1944,9,29911,26,558,532,FALSE,16,DEM,F,IL,01588,Janice D. Schakowsky,183
1952,44,21195,6,285,279,FALSE,4,DEM,F,CA,02089,Janice Hahn,184
1964,2,21303,23,530,507,FALSE,2,DEM,M,CA,02101,Jared Huffman,185
