born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1946,35,29571,11,192,181,FALSE,20,DEM,M,TX,00303,Lloyd A. Doggett,258
1938,24,29774,22,281,259,FALSE,17,DEM,F,CA,01471,Lois Capps,259
1948,22,21321,10,343,333,FALSE,2,DEM,F,FL,02119,Lois Frankel,260
1960,46,29709,5,206,201,FALSE,18,DEM,F,CA,01522,Loretta B. Sanchez,261
1956,11,21171,20,297,277,FALSE,4,REP,M,PA,02054,Lou Barletta,262
1953,1,20527,7,197,190,FALSE,10,REP,M,TX,01801,Louie B. Gohmert Jr.,263
1929,25,15444,15,511,496,FALSE,28,DEM,F,NY,01069,Louise McIntosh Slaughter,264
1941,40,29317,9,264,255,FALSE,22,DEM,F,CA,00997,Lucille Roybal-Allard,265
1953,4,29348,3,353,350,FALSE,22,DEM,M,IL,00478,Luis V. Gutiérrez,266
1969,6,21332,14,302,288,FALSE,2,REP,M,IN,02130,Luke Messer,267
1950,3,20506,7,206,199,FALSE,10,REP,M,GA,01779,Lynn A. Westmoreland,268
1963,2,20915,27,388,361,FALSE,6,REP,F,KS,01921,Lynn Jenkins,269
1958,13,29572,7,90,83,FALSE,20,REP,M,TX,01155,Mac M. Thornberry,270
1933,0,NA,6,309,303,FALSE,12,DEM,F,GU,01723,Madeleine Z. Bordallo,271
1971,33,21365,13,343,330,FALSE,2,DEM,M,TX,02166,Marc A. Veasey,272
1952,11,20941,7,298,291,FALSE,7,DEM,F,OH,01895,Marcia L. Fudge,273
1946,9,15029,6,438,432,FALSE,32,DEM,F,OH,00616,Marcy Kaptur,274
1961,25,20316,3,139,136,FALSE,12,REP,M,FL,01717,Mario Diaz-Balart,275
1952,11,NA,12,478,466,FALSE,0,DEM,M,CA,02227,Mark DeSaulnier,276
1958,2,21196,11,317,306,FALSE,4,REP,M,NV,02090,Mark E. Amodei,277
1959,11,21348,14,268,254,FALSE,2,REP,M,NC,02142,Mark Meadows,278
1964,2,21370,18,667,649,FALSE,2,DEM,M,WI,02171,Mark Pocan,279
1967,1,NA,9,310,301,FALSE,0,DEM,M,HI,02240,Mark Takai,280
1960,41,21312,21,618,597,FALSE,2,DEM,M,CA,02110,Mark Takano,281
